movieId,peopleId
50341,p_155695
42454,p_37942
50408,p_155786
50427,p_56739
50528,p_155994
50570,p_156044
50791,p_76630
50872,p_89496
50944,p_17380
51224,p_115770
48051,p_90441
51320,p_86200
50363,p_86377
51458,p_102040
51492,p_157481
51510,p_137675
48052,p_90445
51664,p_46502
48092,p_61961
51722,p_156205
51848,p_67075
48053,p_65817
51896,p_158621
51896,p_158622
51899,p_793
52499,p_37313
52777,p_160160
52791,p_37197
52921,p_160673
53033,p_160972
53042,p_161039
53095,p_17520
53228,p_126668
53228,p_161383
53239,p_81590
53526,p_20028
53667,p_21415
53697,p_32940
53705,p_83924
53782,p_162475
53785,p_162493
53805,p_162579
53960,p_18175
54070,p_163055
54187,p_93745
54301,p_18356
54321,p_6817
54589,p_44955
54625,p_164038
54798,p_70109
54951,p_18563
55004,p_15254
55068,p_164965
55157,p_112168
55196,p_34613
55202,p_19865
55207,p_158751
55326,p_45672
55336,p_201
55528,p_166240
55661,p_124526
55980,p_62410
48058,p_25882
56046,p_167453
56052,p_118210
56069,p_167610
56099,p_42
56205,p_17496
56328,p_168188
56363,p_168313
56561,p_16780
56776,p_190
15506,p_58189
56809,p_169630
56823,p_169662
56838,p_8929
56970,p_71901
56509,p_94481
57029,p_112452
57281,p_85682
57333,p_33190
57383,p_50739
57412,p_84359
57413,p_4415
57429,p_67075
57511,p_172058
56512,p_25882
57668,p_58075
57902,p_166416
33217,p_141608
57936,p_173345
58107,p_116699
58232,p_174229
50528,p_154487
58541,p_20239
58607,p_110358
58616,p_6648
58705,p_175609
58860,p_28878
58874,p_92394
58976,p_52567
58976,p_56807
59014,p_176939
59053,p_36443
59091,p_177327
59140,p_177486
59279,p_177766
59306,p_103338
11220,p_12453
59484,p_11523
59568,p_98642
59584,p_179133
59615,p_50739
59682,p_103428
59736,p_150661
59745,p_150661
59873,p_179806
59938,p_179883
59938,p_179885
59938,p_179886
59938,p_179887
59938,p_179888
59938,p_179889
59938,p_179890
59958,p_138463
60056,p_86200
60316,p_4415
60344,p_57022
60595,p_98642
60750,p_72258
60764,p_25854
60936,p_182272
60963,p_150661
60965,p_150661
60998,p_21227
60751,p_94481
61072,p_183212
61117,p_53767
61117,p_4415
61117,p_15389
61202,p_67717
61202,p_56024
61202,p_54291
61202,p_125936
61202,p_25340
61202,p_125505
60752,p_88965
61438,p_6648
60753,p_94481
61482,p_6648
53841,p_865
61541,p_72299
60754,p_72258
61662,p_185264
61755,p_91185
61756,p_91185
62224,p_84756
62390,p_31033
62404,p_37361
62466,p_187772
62475,p_1188
62524,p_10790
60758,p_42111
62664,p_65865
60759,p_86761
62976,p_10491
63094,p_6648
60760,p_34194
63249,p_27213
63258,p_2690
61850,p_42111
63479,p_4453
44233,p_148959
41651,p_148959
63628,p_193327
63724,p_1126
63820,p_8500
63841,p_194269
20862,p_5281
63962,p_1614
64069,p_607
64080,p_195407
64153,p_52811
64198,p_14132
64280,p_196509
64331,p_4956
64352,p_196950
64397,p_197296
64448,p_91185
64529,p_12453
64546,p_96124
64549,p_74310
64562,p_96897
64584,p_26882
64680,p_160221
64836,p_71174
64902,p_72034
64957,p_168078
65110,p_102823
65143,p_200667
65302,p_20310
65496,p_104332
65861,p_54794
65872,p_163151
65900,p_71280
65932,p_123925
65942,p_20019
66039,p_15127
66206,p_11572
66266,p_190159
66312,p_6817
65499,p_42111
66439,p_187656
65938,p_114834
66593,p_3974
66723,p_37833
65501,p_26470
67004,p_107448
67006,p_206179
67064,p_114168
67152,p_206327
67162,p_46230
67248,p_206521
23290,p_44683
67793,p_18598
67904,p_111511
67913,p_90611
67999,p_165691
68000,p_111511
68114,p_59023
67917,p_86051
68400,p_105862
68593,p_32375
68647,p_136944
68647,p_171600
68432,p_53767
68900,p_32244
68913,p_38756
68593,p_67924
69227,p_11572
69236,p_186976
69320,p_15892
69359,p_212309
69359,p_212310
69616,p_72842
69621,p_11401
69749,p_155787
70225,p_155235
70309,p_215708
26100,p_42025
70378,p_90179
70502,p_216072
70504,p_116352
70505,p_83891
70841,p_217366
50499,p_78861
50499,p_78860
50499,p_78859
71270,p_7187
71624,p_158505
71110,p_92917
72070,p_139508
72086,p_221116
70344,p_44142
72329,p_11983
72466,p_157334
72133,p_104332
72135,p_89823
72138,p_87671
72137,p_42111
73405,p_223232
73446,p_3556
2932,p_43860
73466,p_42111
61403,p_12786
73998,p_44142
74001,p_41349
75035,p_17458
75059,p_114958
75378,p_97956
75380,p_223960
75453,p_223983
73469,p_104332
75726,p_125936
75827,p_1414
73471,p_94481
75985,p_129318
75988,p_214971
75991,p_96126
75996,p_224504
73476,p_104332
13315,p_109430
16282,p_9264
76626,p_8296
76900,p_72266
76414,p_75129
77376,p_16794
76340,p_100121
10327,p_119249
77774,p_75364
77801,p_25645
77835,p_225233
77836,p_106905
20146,p_152726
78088,p_27811
78696,p_225430
79015,p_225548
70548,p_225569
79146,p_56209
79146,p_45138
79343,p_34421
14228,p_12523
79673,p_225783
79712,p_225842
79964,p_4415
79966,p_12453
80067,p_226063
80152,p_226106
80289,p_225178
80305,p_160221
80306,p_223893
80308,p_226268
80781,p_45791
80856,p_226705
80858,p_106148
78092,p_88965
81238,p_7316
81238,p_226826
81288,p_12329
81378,p_2087
81390,p_122343
81409,p_4645
81593,p_68519
82170,p_184594
82190,p_227300
82197,p_227321
82197,p_2303
82203,p_179195
82218,p_227364
82248,p_23442
13575,p_64438
13575,p_62410
82483,p_607
82609,p_16187
82731,p_212309
82899,p_6273
82945,p_98481
82952,p_17282
66042,p_8023
66042,p_92546
83078,p_151054
83362,p_18064
83387,p_40
83659,p_228115
83659,p_47826
83732,p_86006
83828,p_97300
83847,p_58614
84362,p_225548
84371,p_101607
84375,p_228520
84444,p_19069
84614,p_56570
84662,p_74008
84665,p_17386
84674,p_12329
84675,p_115172
84842,p_228815
84847,p_224462
84921,p_628
84989,p_11195
85074,p_73832
85089,p_4956
85093,p_229095
85093,p_40509
85166,p_229162
85170,p_94712
69531,p_15344
85244,p_229226
85281,p_68
85283,p_68
811,p_12112
85651,p_6648
85675,p_8452
85777,p_23227
85814,p_229585
85887,p_229650
86043,p_69488
86045,p_56194
86148,p_85040
86148,p_52115
86258,p_4410
86263,p_4415
86264,p_15189
86264,p_2303
86293,p_4955
86409,p_42459
86560,p_3831
86735,p_167251
86735,p_5030
86756,p_56213
87061,p_91289
65642,p_88188
87559,p_204879
87638,p_1012
87763,p_106685
87944,p_231314
87981,p_793
88000,p_167980
88268,p_231496
86990,p_47081
88579,p_26767
88579,p_56807
88752,p_231756
88771,p_25735
88866,p_231850
88964,p_150661
88990,p_2239
89180,p_106873
89239,p_19025
89248,p_75633
89621,p_71056
89748,p_92732
89836,p_232166
89841,p_20310
89983,p_65310
90193,p_222840
90273,p_31119
90535,p_1032
90279,p_26470
91008,p_190778
90282,p_88965
90284,p_107788
91252,p_180313
90288,p_18307
90291,p_107788
90295,p_107788
8697,p_70109
91451,p_234355
91468,p_111516
91481,p_85236
91855,p_111121
92116,p_8823
92222,p_234838
92325,p_130957
92461,p_57832
92477,p_63571
92493,p_235012
92503,p_223800
90511,p_88222
92616,p_84534
92913,p_73639
92917,p_97246
92918,p_159569
92956,p_69719
92957,p_235383
92984,p_20023
93016,p_235461
65974,p_51851
93102,p_865
93156,p_235535
